step,target_class,confidence,diff_x,diff_y,smoothed_diff_x,smoothed_diff_y,direction,pos_x,pos_y,pos_z
0,person,0.87,22,58,22.0,58.0,['DOWN'],0.000,-0.000,1.000
1,person,0.85,16,70,19.0,64.0,['DOWN'],0.000,-0.000,1.000
2,person,0.85,15,70,17.7,66.0,['DOWN'],0.000,-0.000,1.000
3,person,0.85,15,70,17.0,67.0,['DOWN'],0.000,-0.000,1.000
4,person,0.85,14,72,16.4,68.0,['DOWN'],0.000,-0.000,1.000
5,person,0.85,14,73,14.8,71.0,['DOWN'],0.000,-0.000,1.000
6,person,0.84,11,73,13.8,71.6,['DOWN'],0.000,-0.000,1.000
7,person,0.85,9,75,12.6,72.6,['DOWN'],0.000,-0.000,1.000
8,person,0.85,7,75,11.0,73.6,['DOWN'],0.000,-0.000,1.000
9,person,0.84,8,75,9.8,74.2,['DOWN'],0.000,-0.000,1.000
10,person,0.84,8,75,8.6,74.6,['DOWN'],0.000,-0.001,1.000
11,person,0.84,5,76,7.4,75.2,['DOWN'],0.000,-0.001,1.000
12,person,0.84,5,76,6.6,75.4,['DOWN'],0.000,-0.001,1.000
13,person,0.84,5,77,6.2,75.8,['DOWN'],0.000,-0.001,1.000
14,person,0.84,4,76,5.4,76.0,['DOWN'],0.000,-0.001,1.000
15,person,0.84,5,76,4.8,76.2,['DOWN'],0.000,-0.001,1.000
16,person,0.84,7,75,5.2,76.0,['DOWN'],0.000,-0.001,1.000
17,person,0.84,9,75,6.0,75.8,['DOWN'],0.000,-0.001,1.000
18,person,0.85,9,75,6.8,75.4,['DOWN'],0.000,-0.002,1.000
19,person,0.85,8,74,7.6,75.0,['DOWN'],0.000,-0.002,1.000
20,person,0.85,8,74,8.2,74.6,['DOWN'],0.000,-0.002,1.000
21,person,0.85,9,74,8.6,74.4,['DOWN'],0.000,-0.002,1.000
22,person,0.84,11,73,9.0,74.0,['DOWN'],0.000,-0.002,1.000
23,person,0.85,14,72,10.0,73.4,['DOWN'],0.000,-0.003,1.000
24,person,0.84,17,71,11.8,72.8,['DOWN'],0.000,-0.003,1.000
25,person,0.83,18,71,13.8,72.2,['DOWN'],0.000,-0.003,1.000
26,person,0.83,20,71,16.0,71.6,['DOWN'],0.000,-0.003,1.000
27,person,0.84,22,70,18.2,71.0,['DOWN'],0.000,-0.004,1.000
28,person,0.84,26,70,20.6,70.6,['DOWN'],0.000,-0.004,1.000
29,person,0.85,28,69,22.8,70.2,['DOWN'],0.000,-0.004,1.000
30,person,0.85,28,69,24.8,69.8,['DOWN'],0.000,-0.004,1.000
31,person,0.87,29,66,26.6,68.8,['DOWN'],0.000,-0.005,1.000
32,person,0.87,30,64,28.2,67.6,['DOWN'],0.000,-0.005,1.000
33,person,0.88,29,63,28.8,66.2,['DOWN'],0.000,-0.005,1.000
34,person,0.87,32,62,29.6,64.8,['DOWN'],0.000,-0.005,1.000
35,person,0.88,34,61,30.8,63.2,"['RIGHT', 'DOWN']",0.000,-0.006,1.000
36,person,0.88,37,60,32.4,62.0,"['RIGHT', 'DOWN']",0.000,-0.006,1.000
37,person,0.89,39,61,34.2,61.4,"['RIGHT', 'DOWN']",0.000,-0.006,1.000
38,person,0.89,47,61,37.8,61.0,"['RIGHT', 'DOWN']",0.000,-0.007,1.000
39,person,0.88,52,61,41.8,60.8,"['RIGHT', 'DOWN']",0.000,-0.007,1.000
40,person,0.88,61,62,47.2,61.0,"['RIGHT', 'DOWN']",0.000,-0.007,1.000
41,person,0.90,73,62,54.4,61.4,"['RIGHT', 'DOWN']",0.000,-0.008,1.000
